Date,BAB
01/31/2010,0.0100
02/28/2010,0.0077
03/31/2010,0.0154
04/30/2010,0.0150
05/31/2010,-0.0055
06/30/2010,0.0231
07/31/2010,-0.0233
08/31/2010,0.0165
09/30/2010,-0.0118
10/31/2010,0.0202
11/30/2010,-0.0051
12/31/2010,-0.0016
01/31/2011,0.0302
02/28/2011,0.0065
03/31/2011,0.0043
04/30/2011,0.0055
05/31/2011,0.0143
06/30/2011,0.0041
07/31/2011,-0.0042
08/31/2011,0.0077
09/30/2011,0.0203
10/31/2011,-0.0597
11/30/2011,0.0061
12/31/2011,0.0127
01/31/2012,0.0069
02/29/2012,0.0257
03/31/2012,0.0394
04/30/2012,0.0289
05/31/2012,0.0235
06/30/2012,0.0108
07/31/2012,0.0104
08/31/2012,-0.0086
09/30/2012,0.0077
10/31/2012,0.0200
11/30/2012,-0.0134
12/31/2012,-0.0105
01/31/2013,0.0439
02/28/2013,0.0189
03/31/2013,0.0234
04/30/2013,0.0167
05/31/2013,-0.0149
06/30/2013,0.0207
07/31/2013,0.0181
08/31/2013,-0.0038
09/30/2013,0.0077
10/31/2013,0.0288
11/30/2013,0.0194
12/31/2013,0.0028
01/31/2014,0.0206
02/28/2014,-0.0018
03/31/2014,0.0158
04/30/2014,0.0021
05/31/2014,0.0107
06/30/2014,-0.0038
07/31/2014,0.0101
08/31/2014,0.0171
09/30/2014,0.0247
10/31/2014,0.0210
11/30/2014,0.0237
12/31/2014,0.0029
01/31/2015,0.0261
02/28/2015,-0.0208
03/31/2015,0.0142
04/30/2015,-0.0217
05/31/2015,0.0267
06/30/2015,0.0197
07/31/2015,0.0549
08/31/2015,-0.0154
09/30/2015,0.0564
10/31/2015,-0.0104
11/30/2015,0.0134
12/31/2015,0.0258
01/31/2016,0.0072
02/29/2016,-0.0064
03/31/2016,-0.0241
04/30/2016,-0.0260
05/31/2016,0.0224
06/30/2016,0.0290
07/31/2016,0.0233
08/31/2016,-0.0184
09/30/2016,-0.0016
10/31/2016,0.0110
11/30/2016,-0.0163
12/31/2016,0.0375
01/31/2017,0.0008
02/28/2017,0.0189
03/31/2017,0.0133
04/30/2017,0.0205
05/31/2017,0.0231
06/30/2017,-0.0002
07/31/2017,0.0018
08/31/2017,-0.0018
09/30/2017,-0.0019
10/31/2017,0.0024
11/30/2017,0.0200
12/31/2017,0.0046
01/31/2018,-0.0005
02/28/2018,-0.0196
03/31/2018,0.0247
04/30/2018,0.0009
05/31/2018,0.0062
06/30/2018,0.0241
07/31/2018,-0.0037
08/31/2018,-0.0121
09/30/2018,-0.0061
10/31/2018,0.0211
11/30/2018,-0.0009
12/31/2018,-0.0002
01/31/2019,-0.0052
02/28/2019,-0.0001
03/31/2019,0.0033
04/30/2019,-0.0011
05/31/2019,0.0426
06/30/2019,-0.0003
07/31/2019,0.0219
08/31/2019,0.0242
09/30/2019,-0.0113
10/31/2019,-0.0040
11/30/2019,-0.0266
12/31/2019,-0.0024
01/31/2020,0.0416
02/29/2020,-0.0368
03/31/2020,-0.0964
04/30/2020,-0.0166
05/31/2020,0.0451
06/30/2020,0.0504
07/31/2020,0.0645
08/31/2020,-0.0396
09/30/2020,0.0124
10/31/2020,-0.0198
11/30/2020,-0.0513
12/31/2020,0.0534
01/31/2021,0.1054
02/28/2021,-0.0203
03/31/2021,-0.0299
04/30/2021,0.0037
05/31/2021,-0.0069
06/30/2021,0.0021
07/31/2021,0.0379
08/31/2021,0.0042
09/30/2021,-0.0230
10/31/2021,0.0125
11/30/2021,0.0058
12/31/2021,0.0354
01/31/2022,-0.0043
02/28/2022,-0.0197
03/31/2022,0.0191
04/30/2022,0.0151
05/31/2022,0.0000
06/30/2022,0.0197
07/31/2022,-0.0246
08/31/2022,-0.0180
09/30/2022,-0.0121
10/31/2022,0.0218
11/30/2022,0.0066
12/31/2022,-0.0045
01/31/2023,-0.0455
02/28/2023,0.0076
03/31/2023,-0.0238
04/30/2023,0.0008
05/31/2023,-0.0534
06/30/2023,-0.0097
07/31/2023,-0.0086
08/31/2023,0.0153
09/30/2023,0.0105
10/31/2023,0.0362
11/30/2023,-0.0071
